inom,prod,charge,dette,emp,caf,pop1,equip,subv,anomalie,score_anomalie
SOTTEVILLE-LES-ROUEN,38278.72,36533.03,25422.79,4100.0,3499.6,29513,5062.41,3488.15,-1,-0.7628952638225615
MONTELIMAR,40677.64,35552.23,32099.03,2200.0,6239.35,41052,8226.07,1429.55,-1,-0.7628952638225615
HEROUVILLE-SAINT-CLAIR,33811.31,32431.37,21687.94,2700.0,2220.93,22830,6671.32,3805.11,-1,-0.7623792739027688
PORNICHET,25373.71,19797.86,21389.94,9484.31,7274.03,11440,16896.07,492.15,-1,-0.7619401032256549
TORCY,33353.02,33614.73,25198.43,5633.33,2419.85,22134,7871.21,1299.83,-1,-0.7618636329766193
MILLAU,30597.63,26953.42,27319.66,0.0,4629.8,22659,6031.61,3902.17,-1,-0.7618636329766193
CAVAILLON,32090.89,29179.46,23974.91,3000.0,5094.8,26648,10095.14,2853.44,-1,-0.7618636329766193
CHAUMONT,31265.37,27660.09,37644.47,3700.0,4809.68,23042,8043.27,2229.87,-1,-0.7618636329766193
SAVIGNY-LE-TEMPLE,48182.31,48089.38,15524.24,1800.0,1443.19,30212,12172.51,2379.52,-1,-0.7618514347892722
VILLENAVE-D'ORNON,47142.59,41217.59,18187.85,0.01,6802.59,36959,6271.02,2885.12,-1,-0.7613483408080681
MEE-SUR-SEINE (LE ),33112.92,30378.62,21536.43,5528.2,3567.28,21059,9187.5,821.29,-1,-0.7613483408080681
GOSIER (LE),42429.55,39710.3,36754.86,1900.0,3559.5,26833,3314.78,2128.03,-1,-0.7613483408080681
PETIT-QUEVILLY (LE ),30738.39,27851.45,16603.98,3000.0,4626.89,22275,20900.32,1085.87,-1,-0.7608333971612308
RAMBOUILLET,40163.3,38417.74,37015.15,2000.0,3975.51,27636,11454.64,1471.7,-1,-0.7608333971612308
EVIAN-LES-BAINS,29559.69,25868.12,21846.52,5000.0,4974.6,9359,9015.27,2324.19,-1,-0.7608333971612308
ARGELES-SUR-MER,28630.4,25687.19,20646.78,8000.0,3363.43,10508,7598.07,2708.43,-1,-0.7603188018003818
FRONTIGNAN,35535.82,31860.66,26545.93,2300.0,4376.23,23255,6713.22,2940.89,-1,-0.7603188018003818
DAX,35342.22,32468.41,47765.11,0.0,4708.26,21684,3645.93,2761.46,-1,-0.7601062309858673
LANESTER,31217.83,28674.34,38354.01,420.0,4817.45,23599,5814.67,2620.17,-1,-0.7598045544899554
PALAISEAU,46439.5,45693.21,30823.43,3400.0,2653.22,35568,6051.59,1869.33,-1,-0.7598045544899554
DOLE,29634.63,26925.88,39780.95,3500.0,4886.97,24604,10155.17,1623.07,-1,-0.7592906549945451
SARAN,33717.7,31158.69,19948.59,9000.0,3623.7,16563,6032.77,1508.16,-1,-0.7592906549945451
RODEZ,34433.14,24484.19,1810.69,0.0,11798.25,26410,21127.65,1559.2,-1,-0.7592906549945451
FONTENAY-AUX-ROSES,42173.89,41638.85,30992.52,1900.0,1693.95,25762,8228.63,986.69,-1,-0.7592906549945451
FECAMP,30617.9,31208.41,25416.19,2000.0,1994.18,18329,7712.8,3029.18,-1,-0.7591841196920798
SANARY-SUR-MER,35575.25,29578.18,58934.06,0.0,8356.21,17160,9276.88,1159.67,-1,-0.7591841196920797
MONTGERON,34912.08,28379.7,22521.51,3000.0,7435.76,24053,9620.6,1972.03,-1,-0.7587771030789037
KOUROU,48874.2,49372.58,19441.67,1995.5,1208.48,25148,6133.04,271.11,-1,-0.7587771030789037
PONTOISE,42252.79,38021.99,18114.78,0.0,5291.31,32891,9186.73,2613.72,-1,-0.7582638985079427
LORMONT,36257.42,36683.64,27690.25,3500.0,1473.23,23498,5183.25,3067.19,-1,-0.7582638985079427
HAZEBROUCK,26354.32,26667.96,14330.98,4500.0,1001.31,21865,1446.01,3762.98,-1,-0.7582638985079427
ERMONT,40353.15,37152.88,8806.38,5000.0,4245.64,29183,9830.97,1679.68,-1,-0.7582638985079427
RIS-ORANGIS,41901.28,39623.74,31577.32,2000.0,3847.08,29927,6605.11,1507.52,-1,-0.7577510410467333
BOURG-SAINT-MAURICE,31908.78,25424.45,30097.3,3000.0,8116.43,7596,6540.25,3524.1,-1,-0.757644721765941
LOUVIERS,25786.2,24590.76,34554.51,4942.4,2549.24,18921,8572.36,2057.25,-1,-0.7573145364758826
MEYZIEU,44725.65,37534.98,15836.61,0.0,8420.93,34941,10607.52,2681.45,-1,-0.7572264063256059
SAINTE-MAXIME,43847.42,36929.24,16756.41,0.0,8894.55,14672,5424.2,4207.26,-1,-0.7571322830895538
MONTCEAU-LES-MINES,23417.51,23487.91,19208.1,6107.97,618.09,17986,6354.48,899.43,-1,-0.7567263665146465
DEAUVILLE,30863.7,27257.16,15804.17,0.0,4987.07,3625,8931.15,6191.35,-1,-0.7566201910048995
SAINT-DIE,27097.32,25091.79,38321.01,3673.47,3054.39,20060,4788.01,3928.16,-1,-0.7562145489747049
TOUQUET-PARIS-PLAGE (LE ),37355.17,35806.46,16238.12,2000.0,2847.19,4501,6921.79,4684.2,-1,-0.7561084452775583
SCHOELCHER,31363.21,29765.38,14923.48,4392.0,2563.0,19830,4767.47,3320.0,-1,-0.7557030776063858
OLIVET,31252.37,27496.93,20293.19,4000.0,5895.22,22867,9195.67,787.25,-1,-0.7551919521755537
MOUGINS,38781.45,32692.61,4000.06,2.28,8009.93,20421,11289.09,5281.18,-1,-0.7550739022872908
SAINT-FONS,34898.96,29730.94,13961.15,0.0,6511.33,19678,8485.49,4262.93,-1,-0.7550739022872908
BRIGNOLES,23449.62,23343.43,30947.36,6500.0,3689.21,17706,6807.19,921.39,-1,-0.7547569217748842
LA GARDE,45399.53,40525.03,10057.94,0.0,7628.25,25818,13123.39,2058.72,-1,-0.754669089259153
SARREGUEMINES,31339.44,29446.45,26546.84,2900.0,3722.54,21105,4006.47,3195.02,-1,-0.7543204431412209
LOOS,30500.69,26651.55,23275.66,3000.0,5471.22,23107,6184.86,2631.44,-1,-0.7541707381905985
LUNEL,36251.8,31757.93,25419.27,3000.0,5541.57,26627,6674.12,1045.02,-1,-0.7541707381905985
BERRE-L'ETANG,45384.07,45441.99,11.54,0.0,4549.71,13737,8576.85,4431.94,-1,-0.754158663174076
PETIT BOURG,37030.73,35132.1,20762.94,2341.06,3451.76,25174,6035.97,2914.2,-1,-0.7536606491689954
MIRAMAS,49965.37,48885.72,7597.48,0.0,2593.34,26828,8341.33,5434.57,-1,-0.7536485823195006
BEAUNE,29800.48,26379.49,16661.82,300.0,4512.7,21310,16085.8,1849.96,-1,-0.7535549038069429
GONFREVILLE-L'ORCHER,41836.93,40084.83,13435.73,0.0,4524.76,9183,6286.01,5153.37,-1,-0.7535428386505356
OSNY,21414.78,18636.0,19107.28,5665.65,3344.15,17685,15037.27,260.34,-1,-0.7532265008796337
SAINT-GRATIEN,29375.98,26712.8,21305.68,8300.83,3758.64,21061,4500.82,1129.53,-1,-0.7527909072938607
KREMLIN-BICETRE (LE ),44226.45,44391.63,27202.61,3000.0,1123.87,25085,3818.53,1127.55,-1,-0.7526415059000232
VIGNEUX-SUR-SEINE,41122.71,37880.97,27020.88,2400.0,3992.96,31575,4340.97,1951.74,-1,-0.7522817515312087
AVION,26703.45,22866.54,16701.34,5000.0,5123.53,17764,6491.39,1525.49,-1,-0.7511907658525045
CAHORS,29692.51,27872.68,32772.89,2530.0,3311.49,20877,7361.11,2089.3,-1,-0.7510099861972075
ALLUES (LES),35345.66,29921.18,2005.72,0.0,6943.36,1903,16226.42,3428.08,-1,-0.7505020349738644
DAMMARIE-LES-LYS,34695.29,29653.33,28095.34,500.0,6627.2,22274,6036.89,1410.3,-1,-0.7500996730322306
SAINTE-SUZANNE,37640.96,34668.15,22576.89,1000.0,3679.9,24292,4914.0,2932.72,-1,-0.7500996730322306
GIF-SUR-YVETTE,30704.9,27961.5,20164.81,3750.0,3971.0,21602,10704.21,1503.83,-1,-0.7500996730322306
TOURNEFEUILLE,35753.43,33271.49,20512.81,3700.0,3508.11,28732,5466.8,1614.08,-1,-0.7500996730322306
LE GRAND-QUEVILLY,37713.26,37369.12,1687.31,0.0,4095.45,26213,8737.28,4047.44,-1,-0.750087663197472
MITRY-MORY,40753.73,39602.58,30557.98,2585.67,2552.61,20731,7282.41,739.66,-1,-0.7499944273071317
VAUJANY,20833.11,13293.59,44961.54,515.0,7575.31,346,5912.58,3422.48,-1,-0.7499644646924104
BOURG-LA-REINE,38296.89,37673.99,27874.92,2023.95,2117.66,21410,7986.5,1256.67,-1,-0.7494871629646425
LILAS (LES),45405.74,43821.56,20722.42,0.0,3973.76,23575,3111.78,2373.44,-1,-0.7490853451199639
VILLENEUVE-LE-ROI,38032.8,30582.99,12434.51,0.0,10117.46,21775,14625.01,1327.76,-1,-0.7489750339274313
GRADIGNAN,31513.34,30587.14,24348.88,1150.0,2036.12,26028,5101.09,2896.57,-1,-0.748578695642014
TAVERNY,36654.7,32704.88,18268.09,1517.4,4977.55,27062,6041.04,1569.54,-1,-0.7480723888402291
MEYLAN,31811.47,28792.67,10642.38,4200.0,4771.09,18177,6445.39,1664.63,-1,-0.7480723888402291
LAON,38575.41,34739.23,8753.06,1644.4,5310.27,24970,11857.02,2135.92,-1,-0.7480604114642877
RIOM,26827.66,24910.31,9943.85,6214.9,2843.3,19762,11565.68,1605.39,-1,-0.7480425030118091
FORBACH,26908.9,24554.06,34781.42,2750.0,4368.7,21887,5475.84,2538.14,-1,-0.7476414596835963
ALENCON,31742.27,26632.06,10015.32,0.0,7603.46,26622,6546.31,3469.56,-1,-0.7475544552078844
LE BOURGET,25315.12,26194.07,18071.24,1250.0,-31.76,15948,24868.03,1793.26,-1,-0.7474615341952764
NOGENT-SUR-OISE,31709.74,29293.02,22780.97,1997.08,3285.14,21142,8300.91,1163.5,-1,-0.7474615341952764
VILLENEUVE-SUR-LOT,31071.54,27981.91,19871.7,3900.0,4669.77,22425,3583.03,1347.54,-1,-0.7472090959471693
ORVAULT,37318.67,34164.71,21577.63,0.0,4323.4,27908,6356.33,1352.51,-1,-0.7470608023382257
VOIRON,30973.42,28594.12,16494.83,1700.0,3618.78,20871,8736.95,1991.41,-1,-0.7469559829939949
ISLE-SUR-LA-SORGUE (L' ),29796.39,27148.74,39983.46,2207.28,4588.8,20535,5387.9,1157.61,-1,-0.7469559829939949
PETIT-CAUX,28686.98,19792.72,15411.61,0.0,10016.11,9831,8646.96,4062.17,-1,-0.7468392205337016
SAINTE ANNE,37863.74,33365.95,19873.29,0.0,5067.42,24420,5735.99,395.15,-1,-0.7450417312607489
RUNGIS,32962.79,26382.25,0.0,0.0,8051.9,5724,13391.7,3258.27,-1,-0.7450298024086212
ORANGE,37833.96,37274.67,41.69,0.0,3393.86,29437,12863.65,2114.38,-1,-0.7450298024086212
FOURMIES,16759.44,15144.07,26876.04,4240.0,2242.25,11754,14453.89,1948.28,-1,-0.7445378167112875
BRUNOY,33817.34,31200.14,28464.9,0.0,4196.14,25757,7524.9,501.75,-1,-0.7440342429882021
DENAIN,29742.43,22505.36,16841.09,1900.0,7419.76,19999,11616.71,1264.75,-1,-0.743929848297447
SAINT-AMAND-LES-EAUX,34236.92,28289.12,26760.14,0.0,6883.97,16034,4176.66,2559.96,-1,-0.7438262250295719
SAINT-LOUIS,33802.06,32025.42,19705.09,1619.13,3075.97,22700,5021.33,2401.88,-1,-0.743531009860972
COGNAC,28394.94,27232.75,24725.86,2000.0,1880.82,19104,6379.43,2449.56,-1,-0.7434266857783471
MAISONS-LAFFITTE,39396.8,35105.61,2117.89,0.0,6316.49,23862,8613.69,1916.97,-1,-0.7430162204870516
LE PUY-EN-VELAY,25771.24,23164.46,29355.55,3500.0,4183.26,20096,10834.07,1667.88,-1,-0.7429984327917378
CANET-EN-ROUSSILLON,28478.66,26376.94,18672.29,0.0,2915.12,12535,5857.64,3700.78,-1,-0.7429238635769818
DRAVEIL,33643.19,32429.88,19537.45,0.0,1798.63,28867,7018.08,1272.53,-1,-0.7425255644727757
PAVILLONS-SOUS-BOIS (LES),34094.0,31580.59,9703.78,2200.0,3951.81,23995,9251.82,2019.49,-1,-0.7425136759069573
LAMBERSART,32171.74,28848.46,13850.82,0.0,3890.75,27835,2166.97,4292.91,-1,-0.7425136759069573
WASQUEHAL,29255.45,27628.56,14813.19,2000.0,2157.46,21092,5543.41,3586.6,-1,-0.7424094945654286
BEGLES,35320.46,31651.66,5034.73,0.0,4194.48,30991,5853.6,4707.06,-1,-0.7420114712266497
VILLEPARISIS,34102.32,32300.75,6363.54,2000.0,3533.47,26678,9554.5,2444.9,-1,-0.7420114712266497
VALSERHONE,29709.93,26637.27,37483.58,0.0,4859.36,16728,6690.89,889.39,-1,-0.7419192392069047
CHALLANS,24020.27,21436.63,20303.49,3500.99,4053.28,22095,10857.81,1663.99,-1,-0.7415959071593635
MONTIGNY-LE-BRETONNEUX,46115.8,47308.33,8903.18,0.0,386.65,32741,11933.79,2014.0,-1,-0.7415096062162353
PONTET (LE ),31969.83,27056.69,15151.13,2750.0,6008.0,17177,2499.2,2599.91,-1,-0.7413022940984888
GENTILLY,42216.3,41889.67,17400.26,1400.0,1484.62,18921,1861.75,1677.85,-1,-0.741003069116061
DEUIL-LA-BARRE,30423.1,26455.19,24106.43,2200.0,4435.09,22336,4858.52,1179.37,-1,-0.7405187507210413
ILLKIRCH-GRAFFENSTADEN,29265.15,26774.52,8483.53,0.0,4823.17,27389,6814.03,3890.89,-1,-0.740506894286288
REMIRE MONTJOLY,33177.58,30136.19,2960.09,0.0,3887.1,26739,6885.11,3818.33,-1,-0.740506894286288
MONTMORENCY,32120.98,27257.88,17865.2,0.0,6216.5,21975,3501.62,1715.57,-1,-0.7401647908959818
LES ULIS,43184.49,41287.66,14169.85,0.0,3965.28,25174,10279.17,1292.02,-1,-0.7400060469077447
ARMENTIERES,34344.34,31496.5,14748.71,0.0,3662.24,25269,2600.29,3024.25,-1,-0.7400060469077447
MONTIGNY-LES-CORMEILLES,27469.38,26267.39,25821.81,4000.0,2315.4,21638,8157.64,976.3,-1,-0.7395916059798154
BARCARES LE,28162.33,26005.51,28614.73,3000.0,6202.04,5811,7457.0,1346.35,-1,-0.7394136177487728
LE GRAU DU ROI,30845.58,24006.94,26702.91,0.0,5589.63,8492,6162.28,2707.56,-1,-0.7394136177487728
MONTARGIS,26044.9,25169.18,22148.73,4000.0,1400.57,15521,7490.84,1338.23,-1,-0.7394136177487728
CARVIN,24474.67,20667.12,58684.48,0.0,7217.43,17660,5719.25,899.81,-1,-0.7393840778421525
ROQUEBRUNE-SUR-ARGENS,32533.71,25962.89,37161.22,1500.0,8249.19,15128,3496.77,1311.75,-1,-0.7393106235544171
AUCH,27456.78,23268.35,22445.59,2000.0,5311.22,23276,7203.97,983.85,-1,-0.7390913776633665
VENCE,25778.7,21975.19,20672.0,1000.0,4052.17,19242,5745.21,3061.43,-1,-0.738987676501037
SALLANCHES,25951.78,21941.29,24682.25,4000.0,5383.31,17322,7185.41,990.82,-1,-0.7385914876800823
VITRE,24806.05,25344.85,15434.48,2500.0,2315.1,19040,7805.1,3482.63,-1,-0.7384760327386712
EAUBONNE,31914.65,29766.24,11167.68,2990.0,3649.85,25653,8801.83,1525.54,-1,-0.7380060426218916
DIGNE-LES-BAINS,27297.5,23490.35,27358.12,2000.0,4215.31,17404,6106.26,2268.38,-1,-0.7379883748694739
LAGNY-SUR-MARNE,29302.99,25349.21,18510.74,53.2,4730.1,21764,8223.93,1134.87,-1,-0.7379143084768891
HALLUIN,23149.29,21511.6,20338.65,3800.0,2712.94,20857,7331.11,1985.76,-1,-0.7375927217978258
ELANCOURT,36564.65,36215.23,12324.77,3000.0,2585.82,25868,10285.35,568.96,-1,-0.7375068867130833
MOULINS,22520.04,20295.54,20126.71,2090.0,4486.67,19788,9202.28,2048.04,-1,-0.7364919555631146
PONTARLIER,24366.88,20509.23,16556.72,3200.0,4870.65,18440,5880.64,3107.24,-1,-0.7364919555631146
SAINT-CYR-L-ECOLE,28082.4,22892.45,9788.72,4000.0,6127.97,20432,8399.94,462.89,-1,-0.7364180393549821
LA PLAINE DES PALMISTES,13590.7,13517.83,14420.44,7890.34,509.12,6725,7478.28,1675.5,-1,-0.7364180393549821
REDON,13892.28,13737.14,19559.9,12608.53,828.7,10032,8332.3,1106.29,-1,-0.7360232281774489
DINARD,30094.93,26432.68,16268.7,1800.0,5087.42,10707,5688.08,1413.31,-1,-0.735919957504065
BERCK,26609.04,22502.79,18100.41,2000.0,5016.13,13813,7898.32,2085.6,-1,-0.7354960287889201
SAINT-CYPRIEN,27441.24,22685.32,29256.43,1275.0,5808.48,11190,3362.22,3187.91,-1,-0.7352476316199646
SENS,38944.76,37177.27,11794.11,0.0,3223.44,27203,10070.8,2337.0,-1,-0.7350161667219912
VANDOEUVRE-LES-NANCY,36809.29,34914.3,8398.56,0.0,3032.01,30223,4013.35,4606.47,-1,-0.7350161667219912
PORTO VECCHIO,28665.88,25867.62,24770.42,2500.0,4418.52,11312,8238.58,1060.28,-1,-0.7349248042185385
LANNION,28390.61,26962.4,17478.11,3000.0,2995.59,21146,7137.13,1323.91,-1,-0.7349248042185385
LES DEUX ALPES,23953.03,21152.97,30942.01,3000.0,5781.26,1965,4118.25,1836.39,-1,-0.7348961913319094
CHATEAUNEUF-LES-MARTIGUES,28100.85,27832.76,25948.46,0.0,1960.38,17667,4580.88,2500.81,-1,-0.7348224352787386
CESSON-SEVIGNE,21438.26,21152.37,12406.14,5692.0,2319.24,17616,9490.5,1146.87,-1,-0.7346045203801104
MOISSY-CRAMAYEL,27157.03,25501.31,18070.44,4000.0,2436.6,17984,6463.43,380.77,-1,-0.7346045203801104
CHEMILLE EN ANJOU,26989.6,21763.68,13107.48,0.0,6516.61,21432,7113.03,3313.24,-1,-0.7344896886723592
ARGENTAN,19583.72,20180.7,14418.1,2000.0,241.13,13748,7690.09,3735.22,-1,-0.7344159734168305
CLUSES,26857.35,25633.86,21529.14,2000.0,2801.29,17323,7387.84,2036.24,-1,-0.7340046632136493
ROGNAC,30320.08,29212.63,8678.15,4000.0,1645.12,12209,8286.7,699.68,-1,-0.7339309966365107
SAINT-OUEN-AUMONE(L'),33707.34,31332.99,1329.03,990.0,3748.4,24789,7543.48,1435.22,-1,-0.7335257741632148
LE BOUSCAT,28792.4,26080.85,15324.06,1200.0,3841.86,24167,6076.72,1734.24,-1,-0.7335257741632148
VILLEMOMBLE,40341.6,39588.1,663.64,0.0,2828.37,30590,7713.89,2378.1,-1,-0.7335257741632148
LA HAGUE,30865.74,30731.08,1187.55,0.0,2335.11,11509,5874.96,4156.92,-1,-0.7334228539050731
COURNON-D'AUVERGNE,24094.39,23458.46,17446.6,3217.55,2094.48,20688,2423.2,3345.37,-1,-0.7331868959486372
LOURDES,29783.44,28746.47,26758.25,0.0,1693.64,13449,4022.63,1963.8,-1,-0.7330840232381544
SAINT-JEAN-DE-LUZ,30199.35,26606.93,12204.26,0.0,4323.46,14618,9497.07,2820.79,-1,-0.7329267978702456
MORZINE,23087.21,20537.3,11009.85,2001.95,4568.85,2791,2470.06,4575.52,-1,-0.7325881963739835
ANNONAY,24079.09,22648.47,17404.37,3000.0,2238.04,16920,8142.73,2385.57,-1,-0.7324428044775264
CHAVILLE,33122.94,31264.18,13757.53,1568.31,3061.42,21081,6434.28,2223.3,-1,-0.7319356921072973
LONGJUMEAU,29631.12,27688.52,17350.54,0.0,4132.88,21412,3636.53,2161.04,-1,-0.7318454570928411
LONS-LE-SAUNIER,22909.29,22542.05,14466.65,4191.0,2549.67,17999,7678.82,2570.65,-1,-0.7316284250304852
SEVRES,40153.07,36112.89,5930.34,0.0,4996.43,23852,7616.28,1869.64,-1,-0.7315432840224376
NOGENT-LE-ROTROU,14059.17,12387.17,24829.11,4421.6,2530.64,9941,6738.06,2172.12,-1,-0.7311335826710532
ISSOIRE,20874.75,18421.91,21635.83,3100.0,3144.29,15701,8205.96,1940.92,-1,-0.731030998058876
ALLAUCH,29036.29,26617.63,18928.67,1100.0,3790.4,21597,5557.4,784.13,-1,-0.7309576299263447
HENDAYE,26184.24,23237.25,18404.33,2000.0,4446.04,17404,4324.57,2951.49,-1,-0.7309291714940321
MARSEILLAN,15713.44,15822.26,25107.76,6000.0,2368.6,7838,10870.36,538.11,-1,-0.7305365597736462
OZOIR-LA-FERRIERE,29719.54,28499.12,27681.45,1800.0,1954.07,20726,3497.37,1480.86,-1,-0.7303614937831768
CONCARNEAU,28797.55,24940.53,16938.17,0.0,4829.53,20672,5269.33,1357.86,-1,-0.7302165438055414
SAINT-SEBASTIEN-SUR-LOIRE,36111.16,32538.72,3914.16,0.0,4450.84,28169,7625.27,1856.06,-1,-0.7300599334292223
TASSIN-LA-DEMI-LUNE,20791.32,16148.14,17326.21,1400.0,5282.94,22637,5934.61,2567.8,-1,-0.7300424559054501
LISIEUX,30027.41,28222.49,5549.95,0.0,4138.15,20692,10101.79,2423.45,-1,-0.7299574994596822
MORLAIX,23961.63,23257.39,18885.21,3000.0,1651.87,15302,6780.39,2321.09,-1,-0.7298667657485284
GUYANCOURT,46650.72,44020.47,11577.97,0.0,4362.46,29932,5199.45,675.74,-1,-0.7295727603121896
ROBERT,36641.99,34121.03,7629.96,0.0,2865.65,22096,3473.79,4288.07,-1,-0.7295661519308205
PORT-DE-BOUC,33291.99,33279.56,14587.49,0.0,2487.26,16778,6867.94,2598.54,-1,-0.7294637872432622
CHAMPS-SUR-MARNE,36162.95,34938.47,12534.45,1500.0,2813.16,25808,7320.97,766.07,-1,-0.7290727044052298
COUERON,27511.21,24308.14,6487.55,2500.0,3988.61,22584,6293.52,2106.41,-1,-0.7290435776227491
SAINT-MICHEL-SUR-ORGE,29162.44,27068.09,13106.7,2150.0,3155.51,20631,6407.47,1580.91,-1,-0.7284773643624236
LE PONT-DE-CLAIX,26471.21,25416.29,22980.51,1500.0,1866.61,10792,5457.34,2900.54,-1,-0.7278941647600653
BRESSUIRE,21378.54,18881.86,26624.74,2102.24,4305.43,20847,5680.2,1614.19,-1,-0.7275769449088363
SAINTE-ROSE,14608.05,14520.43,17019.98,2500.0,787.69,6422,9111.96,3033.33,-1,-0.7275039234338749
CAUDRY,26367.58,18578.19,18456.97,3.77,8658.28,14261,5575.52,1488.33,-1,-0.7274748593248997
CREUSOT (LE ),28161.09,26658.54,18934.53,2300.0,3224.85,21567,4573.71,1290.54,-1,-0.727402588161321
CARRIERES-SUR-SEINE,21007.19,18734.1,16504.91,5000.0,3015.86,15376,5023.15,164.55,-1,-0.7271868736517322
GUERANDE,23145.26,19235.6,19963.34,1000.0,4806.5,16687,5574.79,2206.21,-1,-0.7270848427982984
CARRIERES-SOUS-POISSY,26677.58,25484.92,25618.05,0.0,2716.16,16757,9909.68,955.43,-1,-0.7270848427982984
PIERRELATTE,22173.08,23271.19,12780.9,6000.0,1356.37,13769,4442.55,1443.71,-1,-0.7269098644130094
ROMILLY-SUR-SEINE,19829.54,17722.18,29179.65,4380.0,3565.38,14798,5069.51,1008.48,-1,-0.7266950353688075
SAINT-JULIEN-EN-GENEVOIS,21908.0,17512.16,23622.0,2000.0,5627.39,16125,6203.87,1166.96,-1,-0.726593073524705
PLOEMEUR,24202.63,21759.19,15155.14,2700.0,3156.64,18417,8387.58,1797.58,-1,-0.726581440053763
PETITE-ILE,19267.64,16432.96,14768.56,4700.0,3493.83,12518,9177.47,988.42,-1,-0.7263269251313736
BISCARROSSE,26683.85,24117.35,14605.83,1930.0,4405.72,14292,5670.09,2110.98,-1,-0.7255989148485431
FONTAINE,32200.74,29789.71,13096.43,0.0,3133.05,23445,3762.29,2096.65,-1,-0.7252810618457269
CROLLES,17374.31,15038.05,12029.21,5800.0,3175.71,8549,11647.17,946.58,-1,-0.7251925426454633
PLAGNE-TARENTAISE (LA ),24470.53,21158.78,13232.94,1900.0,5638.5,3894,6452.26,1944.43,-1,-0.725119760475185
ORSAY,29349.34,26755.49,17209.16,975.9,3905.67,15832,3640.44,1655.41,-1,-0.7249459925680513
VAUVERT,16617.88,16544.4,17477.67,5863.43,814.63,11610,3971.98,1188.46,-1,-0.7248021173688464
CHILLY-MAZARIN,29285.04,29517.5,16201.15,751.0,506.03,19950,3467.18,1053.54,-1,-0.724790512572877
SAINT-JEAN-DE-BRAYE,30382.96,29108.15,13808.92,0.0,3068.52,21880,4854.13,2322.22,-1,-0.724790512572877
MOULE (LE),34322.55,33580.27,7367.48,0.0,1531.68,22423,5786.31,2142.0,-1,-0.7246466682307504
SAINT-GERVAIS-LES-BAINS,24493.76,19452.8,18583.4,0.0,5771.41,5734,7399.22,1858.54,-1,-0.7245276482940095
SAINT-AVOLD,28053.2,24253.91,19490.37,0.0,4450.35,15767,2222.83,1975.46,-1,-0.7244556699218143
EYSINES,25624.66,25052.29,13338.99,3500.0,2494.2,24752,5213.7,2550.69,-1,-0.7242292335248904
SEGRE EN ANJOU BLEU,22147.46,20155.7,22043.59,3000.0,3433.23,18295,7464.22,949.09,-1,-0.7241392118371449
PAMIERS,26327.42,25477.04,25024.47,2000.0,2586.34,16137,9276.78,950.44,-1,-0.7241392118371449
PLESSIS-TREVISE (LE ),27226.88,24537.19,14443.46,0.0,3594.39,19907,7086.49,2123.27,-1,-0.7241276176549462
BRY-SUR-MARNE,31742.85,29992.48,12204.65,1000.0,3331.04,17723,6161.03,982.67,-1,-0.7240549423632516
BORMES-LES-MIMOSAS,19351.88,17302.58,18102.59,11401.0,2501.31,8279,5150.87,576.15,-1,-0.7239940800659105
FONTAINEBLEAU,24508.19,22936.59,20691.9,3000.0,2185.38,16159,5815.38,1833.72,-1,-0.7239649423398962
BAGNOLS-SUR-CEZE,27984.45,24271.16,21669.7,1019.83,4167.84,18449,4666.79,1309.6,-1,-0.723476019305209
JUVISY-SUR-ORGE,28832.61,27036.4,10492.17,3300.0,2870.74,17581,10121.87,685.63,-1,-0.7234636996822735
FLEURY-LES-AUBRAIS,33291.03,31772.13,9807.81,2000.0,2701.32,21276,3647.88,1696.77,-1,-0.7229751151571839
COMBS-LA-VILLE,25760.18,25512.05,15582.81,2000.0,789.17,21777,3725.72,1015.36,-1,-0.7228316311048825
MONS-EN-BAROEUL,26685.02,23668.48,2.97,0.0,3511.59,21415,6355.39,1912.69,-1,-0.7222718690181508
ROISSY-EN-BRIE,27339.56,26285.67,15201.8,1400.0,1679.45,22933,6012.8,1295.08,-1,-0.7221993799741152
LUNEVILLE,23657.84,20999.04,24092.56,1000.0,3884.99,18191,3661.34,2828.67,-1,-0.7220814966454863
DIVONNE-LES-BAINS,27309.9,21725.91,13688.02,1618.77,7395.93,10190,3999.89,2103.15,-1,-0.7220699354093348
BRUGES,23896.58,21058.9,6780.44,2000.0,3858.55,19590,14712.72,2661.18,-1,-0.7220576397297271
MARMANDE,25207.38,24347.74,17243.04,1000.0,1758.51,18008,3617.23,2445.88,-1,-0.7220090267077067
CHAMBLY,14966.55,13155.48,21658.19,4000.0,3174.5,10280,11208.29,991.19,-1,-0.7218673601295221
VAL-D'ISERE,25933.36,24001.0,11701.94,0.0,3729.21,1629,4359.38,4387.81,-1,-0.7218657343885405
SAINT-GREGOIRE,17305.85,15975.02,18672.77,3000.0,3172.07,10262,6607.92,1863.6,-1,-0.7216936373703156
VERTOU,28434.79,25567.76,6796.14,2809.41,3831.34,26140,5656.15,1071.59,-1,-0.7216096524926302
PORT-JEROME-SUR-SEINE,25862.24,21290.33,11923.02,0.0,5072.8,10433,4235.87,3862.02,-1,-0.7212647310087259
KOUNGOU,25331.79,21585.21,4264.68,0.0,4675.19,32752,15732.6,1393.2,-1,-0.7204627800997697
LATTES,25192.2,19235.99,5412.09,0.0,6347.01,17680,7074.94,3107.89,-1,-0.7202606194778798
